query accession,genus/species,nucleotide acc,protein acc,fxn,dir,min,max,PfamID1,description,E-value1,PfamID2,description,E-value2,PfamID3,description,E-value3,custom hmm,custom hmm E-value,custom hmm2,custom hmm2 E-value
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693368.1,,rev,48967,50538,PF00171,Aldedh  Aldehyde dehydrogenase family,1.60E-138,,,,,,,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693371.1,,fwd,50687,51370,PF00440,TetR_N  Bacterial regulatory proteins  tetR family,2.40E-09,PF02796,HTH_7  Helix-turn-helix domain of resolvase,0.00038,PF13384,HTH_23  Homeodomain-like domain,0.00077,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_083899450.1,,rev,51386,52222,PF00106,adh_short  short chain dehydrogenase,1.40E-41,PF13561,adh_short_C2  Enoyl-(Acyl carrier protein) reductase,3.20E-35,PF08659,KR  KR domain,5.90E-12,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693495.1,,rev,52303,53775,PF13738,Pyr_redox_3  Pyridine nucleotide-disulphide oxidoreductase,1.70E-17,PF00743,FMO-like  Flavin-binding monooxygenase-like,4.00E-17,PF07992,Pyr_redox_2  Pyridine nucleotide-disulphide oxidoreductase,4.50E-11,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693374.1,,rev,53814,54884,PF00111,Fer2  2Fe-2S iron-sulfur cluster binding domain,1.50E-11,PF00970,FAD_binding_6  Oxidoreductase FAD-binding domain,2.60E-06,PF00175,NAD_binding_1  Oxidoreductase NAD-binding domain,0.00047,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693377.1,,rev,54881,55759,PF10118,Metal_hydrol  Predicted metal-dependent hydrolase,1.30E-72,,,,,,,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693379.1,,fwd,55864,56526,PF00440,TetR_N  Bacterial regulatory proteins  tetR family,2.90E-05,PF12833,HTH_18  Helix-turn-helix domain,0.034,PF04546,Sigma70_ner  Sigma-70  non-essential region,0.15,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693381.1,,rev,56523,58001,PF13450,NAD_binding_8  NAD(P)-binding Rossmann-like domain,9.10E-11,PF13738,Pyr_redox_3  Pyridine nucleotide-disulphide oxidoreductase,1.10E-10,PF07992,Pyr_redox_2  Pyridine nucleotide-disulphide oxidoreductase,7.60E-10,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693497.1,,fwd,58562,59638,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,7.30E-13,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,7.00E-09,PF00108,Thiolase_N  Thiolase  N-terminal domain,0.012,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693384.1,,fwd,59647,60561,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,2.60E-06,,,,,,,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693387.1,,fwd,60558,62231,PF00501,AMP-binding  AMP-binding enzyme,1.30E-60,,,,,,,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693390.1,,fwd,62235,62516,NO PFAM MATCH,,,,,,,,,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693392.1,D,fwd,62513,63559,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,6.30E-39,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,2.90E-31,PF07993,NAD_binding_4  Male sterility protein,9.80E-22,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693395.1,,fwd,63586,64785,PF07336,ABATE  Putative stress-induced transcription regulator,1.8,,,,,,,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693398.1,MMPL,fwd,64782,66887,PF03176,MMPL  MMPL family,1.90E-69,,,,,,,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693401.1,,fwd,67173,67586,NO PFAM MATCH,,,,,,,,,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693403.1,,rev,67640,67888,PF02805,Ada_Zn_binding  Metal binding domain of Ada,1.20E-07,,,,,,,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693500.1,,rev,67895,68596,PF09859,Oxygenase-NA  Oxygenase  catalysing oxidative methylation of damaged DNA,8.20E-79,,,,,,,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_083899448.1,,rev,68662,69279,PF01035,DNA_binding_1  6-O-methylguanine DNA methyltransferase  DNA binding domain,1.20E-26,PF02870,Methyltransf_1N  6-O-methylguanine DNA methyltransferase  ribonuclease-like domain,7.80E-07,,,,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693506.1,,rev,69279,69752,PF04542,Sigma70_r2  Sigma-70 region 2,1.50E-12,PF08281,Sigma70_r4_2  Sigma-70  region 4,1.60E-11,PF04545,Sigma70_r4  Sigma-70  region 4,1.80E-08,,,,
WP_043693387.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_043693406.1,,rev,69799,71697,PF13604,AAA_30  AAA domain,2.20E-33,PF13245,AAA_19  AAA domain,5.40E-30,PF13538,UvrD_C_2  UvrD-like helicase C-terminal domain,8.20E-16,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084514988.1,,fwd,62373,63008,PF10738,Lpp-LpqN  Probable lipoprotein LpqN,8.60E-35,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570055.1,,rev,63044,63925,PF00398,RrnaAD  Ribosomal RNA adenine dimethylase,7.10E-39,,,,,,,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570057.1,,rev,64110,65273,PF03583,LIP  Secretory lipase,7.80E-10,PF12146,Hydrolase_4  Serine aminopeptidase  S33,3.50E-05,PF12697,Abhydrolase_6  Alpha/beta hydrolase family,4.00E-05,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570059.1,,fwd,65424,66191,PF13561,adh_short_C2  Enoyl-(Acyl carrier protein) reductase,1.50E-55,PF00106,adh_short  short chain dehydrogenase,1.60E-52,PF08659,KR  KR domain,1.70E-13,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570138.1,,rev,66280,67407,PF06737,Transglycosylas  Transglycosylase-like domain,6.00E-34,PF03990,DUF348  Domain of unknown function (DUF348),5.60E-23,PF07501,G5  G5 domain,5.20E-15,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570061.1,,rev,67471,68298,PF01026,TatD_DNase  TatD related DNase,1.70E-68,PF01261,AP_endonuc_2  Xylose isomerase-like TIM barrel,0.00019,PF04909,Amidohydro_2  Amidohydrolase,0.00024,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570063.1,,fwd,68365,69924,PF09334,tRNA-synt_1g  tRNA synthetases class I (M),9.40E-111,PF00133,tRNA-synt_1  tRNA synthetases class I (I  L  M and V),2.90E-31,PF01406,tRNA-synt_1e  tRNA synthetases class I (C) catalytic domain,2.20E-11,,,,
WP_084515010.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067570065.1,,rev,70000,70929,PF08450,SGL  SMP-30/Gluconolaconase/LRE-like region,4.70E-12,PF03088,Str_synth  Strictosidine synthase,1.40E-05,PF01436,NHL  NHL repeat,0.0099,,,,
