query,genus_species,nucleotide_acc,protein_acc,start,end,dir,pfam_id1,description,e_value1,pfam_id2,description_1,e_value2,pfam_id3,description_2,e_value3,x17,x18,x19,x20,x21,x22
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_083981297.1,19616,20270,+,PF13578,Methyltransferase domain,2.8e-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067898991.1,21406,20278,-,PF00432,Prenyltransferase and squalene oxidase repeat,9.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067898994.1,22148,21395,-,PF08241,Methyltransferase domain,4e-23,PF13649,Methyltransferase domain,1.1e-20,PF13489,Methyltransferase domain,4.4e-19,PF13847,Methyltransferase domain,1.1e-16,NA,NA,NA
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067899193.1,23490,22209,-,PF13692,Glycosyl transferases group 1,1.7e-27,PF00534,Glycosyl transferases group 1,1.8e-27,PF13439,Glycosyltransferase Family 4,3.8e-24,PF13579,Glycosyl transferase 4-like domain,2.2e-19,NA,NA,NA
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067898997.1,24941,23681,-,PF00067,Cytochrome P450,1.8e-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067898998.1,26107,25117,-,PF00753,Metallo-beta-lactamase superfamily,8.5e-27,PF12706,Beta-lactamase superfamily domain,3.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067899001.1,27395,26234,-,PF00108,"Thiolase, N-terminal domain",7.1e-58,PF02803,"Thiolase, C-terminal domain",7.3e-40,PF00109,"Beta-ketoacyl synthase, N-terminal domain",2.4e-5,NA,NA,NA,NA,NA,NA
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067899004.1,27570,27963,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067899007.1,28160,29162,+,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,4.9e-19,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,8.8e-17,PF00108,"Thiolase, N-terminal domain",5.3e-7,NA,NA,NA,NA,NA,NA
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067899010.1,29164,29917,+,PF00535,Glycosyl transferase family 2,2e-21,PF13641,Glycosyltransferase like family 2,1.2e-12,PF10111,Glycosyltransferase like family 2,4.3e-6,PF13704,Glycosyl transferase family 2,4.9e-4,NA,NA,NA
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067899013.1,29913,31074,+,PF00067,Cytochrome P450,1.1e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067899016.1,31070,32579,+,PF00501,AMP-binding enzyme,2.8e-52,PF13193,AMP-binding enzyme C-terminal domain,1.4e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067899019.1,32575,33502,+,PF01370,NAD dependent epimerase/dehydratase family,3.2e-22,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,2.4e-14,PF07993,Male sterility protein,1.9e-11,PF04321,RmlD substrate binding domain,3.4e-10,NA,NA,NA
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067899023.1,33552,34296,+,PF02861,"Clp amino terminal domain, pathogenicity island component",2.4e-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067899026.1,34326,35187,+,PF00561,alpha/beta hydrolase fold,1.1e-18,PF12146,"Serine aminopeptidase, S33",4.8e-13,PF12697,Alpha/beta hydrolase family,8.7e-11,PF03096,Ndr family,8.3e-5,PF08386,TAP-like protein,1.2e-4
WP_067899007.1,Actinomadura chibensis NBRC 106107,NZ_BCQP01000054.1,WP_067899031.1,36638,35195,-,PF07905,Purine catabolism regulatory protein-like family,1.5e-29,PF13556,PucR C-terminal helix-turn-helix domain,1e-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
